FLOWS	STATE	ADR	CLK	CIR	WR	CB	CD	CBA	BUS	DAD	SPS	ALU	SBC	SBM	SDM	SBA	UBF	SRX	RIF	UPF	MM
09	RSR10	277	3	0	0	0	1	0	0	00	2	00	00	00	2	0	16	00	00	376	17

05	JMP04	300	2	0	3	1	0	0	0	00	0	00	00	00	2	0	00	01	10	306	17
05	JMP09	301	2	0	3	1	0	0	0	00	0	00	00	00	1	0	00	01	10	302	17
05	JMP10	302	5	0	0	0	1	1	1	00	0	11	00	00	0	0	15	04	00	303	17
5	JMP11	303	2	0	3	1	0	0	0	00	0	00	00	00	1	0	00	01	10	306	17

05	JMP14	304	2	0	3	1	0	0	0	00	0	00	00	00	1	0	00	01	10	305	17
05	JMP15	305	4	0	0	0	1	0	0	00	0	11	00	00	0	0	15	04	00	300	17
05	JMP12	306	4	0	0	0	1	0	0	00	0	00	00	00	0	0	16	01	10	313	17
05	JSR00	307	6	0	3	0	1	1	0	06	0	06	01	17	2	0	00	01	06	310	17

05	JSR01	310	5	0	0	0	1	0	5	00	0	00	00	00	0	0	00	10	00	311	17
05	JSR02	311	2	0	0	1	0	0	0	00	0	00	00	00	0	0	00	01	07	312	17
05	JSR03	312	6	0	3	0	1	0	0	00	0	32	00	00	2	0	00	10	00	306	17
05	JMP13	313	2	0	3	0	0	0	0	00	0	00	00	00	2	0	00	01	07	016	17

		314	0	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	000	17
11	CON13	315	2	0	0	0	0	0	0	00	0	00	00	00	0	0	06	00	00	046	17
		316	0	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	000	17
06	TRP01	317	6	0	3	0	1	0	0	00	0	32	00	17	2	0	00	01	14	215	17

06	RTI01	320	2	0	3	0	0	0	0	00	0	00	00	00	1	0	00	01	07	321	17
06	RTI02	321	7	0	3	0	1	1	1	00	0	11	02	17	2	1	00	01	06	322	17
06	RTI03	322	2	0	0	0	0	0	0	00	7	00	00	00	1	0	00	00	00	017	17
06	RTS01	323	2	0	3	0	0	0	0	00	0	00	00	00	2	0	00	01	07	324	17

06	RTS02	324	7	0	3	0	1	1	1	00	0	11	02	17	2	1	16	01	06	325	17
06	RTS03	325	2	0	3	0	0	0	0	00	0	00	00	00	1	0	00	04	00	016	17
06	TRP10	326	6	0	3	0	1	1	0	06	0	06	01	17	2	0	00	01	06	327	13
06	TRP11	327	5	0	0	0	1	0	5	00	6	00	00	00	0	0	00	00	00	113	13

06	TRP13	330	6	0	3	0	1	1	0	06	0	06	01	17	2	0	00	01	06	331	13
06	TRP14	331	5	0	0	0	1	0	5	00	0	00	00	00	0	0	00	01	07	077	13
06	TRP20	332	3	0	0	0	0	1	1	00	0	00	00	00	0	1	01	01	14	333	13
06	TRP21	333	2	0	3	0	0	0	0	00	0	00	00	00	1	0	03	01	07	122	17

06	TRP18	334	5	0	0	0	0	1	1	00	0	11	02	17	0	0	00	01	14	335	17
06	TRP19	335	2	0	0	0	0	0	0	00	7	00	00	00	1	0	00	00	00	332	17
06	TRP00	336	6	0	3	0	1	0	0	00	0	32	17	17	2	0	00	01	06	317	17
06	TRP17	337	6	0	3	0	1	0	0	00	0	32	11	17	2	0	00	01	14	334	17

07	BRA01	340	2	0	3	0	0	0	0	00	0	00	00	00	2	0	16	01	07	341	17
07	BRA02	341	6	0	3	0	1	0	0	00	0	11	00	05	2	0	00	01	07	016	17
07	SOB01	342	2	0	3	0	0	0	0	00	0	00	00	00	2	0	12	10	00	343	17
07	SOB02	343	6	0	0	1	1	0	0	00	0	33	13	17	2	0	00	01	13	344	17

07	SOB03	344	6	0	3	0	1	0	0	10	0	06	00	00	2	0	16	01	07	346	17
07	SOB05	345	2	0	0	0	0	0	0	00	0	00	00	00	2	0	16	00	00	347	17
07	SOB04	346	6	0	3	0	1	0	0	10	0	06	00	00	2	0	00	01	07	016	17
07	SOB06	347	2	0	0	0	0	0	0	00	0	00	00	00	0	0	00	01	13	016	17

07	CCC01	350	6	0	0	1	1	0	0	00	0	25	00	00	2	0	16	00	00	351	17
07	CCC02	351	6	0	0	0	1	0	0	00	3	33	00	00	2	0	00	00	00	016	17
07	SCC01	352	6	0	0	0	1	0	0	00	3	36	00	00	2	0	00	00	00	016	17
05	MRK01	356	6	0	3	0	1	1	1	00	0	11	00	05	2	0	00	01	07	354	17

05	MRK02	354	4	0	0	0	1	0	0	00	0	11	02	17	0	0	00	01	07	355	17
05	MRK03	355	3	0	3	0	0	0	0	00	0	00	00	00	2	0	00	01	06	356	17
05	MRK04	356	6	0	3	0	1	0	0	00	0	00	00	00	1	0	16	01	05	357	17
05	MRK05	357	2	0	3	0	0	0	0	00	0	00	00	00	2	0	00	01	07	016	17

08	DOP19	360	0	0	3	0	0	0	0	00	3	00	00	00	2	0	00	04	00	000	17
08	DOP18	361	0	0	1	0	0	0	0	00	3	00	00	00	2	0	00	04	00	000	17
08	DOP17	362	0	0	0	0	0	0	0	00	3	00	00	00	2	0	00	00	00	000	17
07	DOP01	363	4	0	0	0	1	0	0	10	0	06	00	00	0	0	27	04	00	360	17

08	DOP03	364	4	0	0	0	1	0	0	14	0	00	00	00	0	0	27	10	00	360	17
08	DOP06	365	4	0	0	0	1	0	5	10	0	06	00	00	0	0	00	01	12	367	16
08	DOP11	366	5	0	0	0	1	0	7	13	0	32	00	10	2	0	16	00	00	375	16
08	DOP12	367	3	0	0	0	0	0	0	12	3	00	00	00	2	0	16	00	00	375	17

08	DOP14	370	4	0	0	0	1	0	0	10	0	06	00	00	0	0	27	04	00	360	17
08	DOP16	371	4	0	0	0	1	0	0	14	0	00	00	00	0	0	27	01	11	360	17
07	SSL01	372	4	0	0	0	1	0	0	10	0	06	00	00	2	0	27	00	00	360	17
07	SSL03	373	2	0	0	0	0	0	0	00	1	00	00	00	2	0	27	00	00	360	17

09	SSL09	374	5	0	0	0	1	0	7	13	0	32	00	10	2	0	16	00	00	375	16
08	DOP20	375	2	0	0	0	0	0	0	00	0	00	00	00	2	0	00	00	00	016	17
09	RSR11	376	2	0	0	0	0	0	0	00	0	00	00	00	2	0	00	00	00	016	17
		377	0	0	0	0	0	0	0	00	0	00	00	00	0	0	00	00	00	000	17
